Nombre,Ap Paterno,Ap Materno,CURP,Fecha Nac,Sexo (M/F),Correo,Calle,No Int,No Ext,Colonia,CP,Ciudad,Estado,Tel�fono,Celular,Foto,No Ctrl,ID Carrera,Plan de estudios,Semestre,Num Familiar,Nombre Familiar,Contrase�a,Activo
Rose,Bush,Head,3233681,1999-07-23,M,tortor.nibh.sit@euaccumsan.ca,4774 At Rd.,296,526,Alguna,63700,Wałbrzych,Ontario,9596484575,7118276585,jumtest.jpg,10001,adm,volutpat ornare  facilisis eget  ipsum. Donec sollicitudin adipiscing ligula. Aenean,1,8178700587,Beverly Castaneda,Sed nec metus facilisis lorem tristique aliquet.,1
Hillary,Rose,Sullivan,9533861,1999-07-24,M,lectus.pede@scelerisquescelerisquedui.org,P.O. Box 136  3107 In Rd.,414,453,San Jos�,38606,Mata de Plátano,ST,6380706347,6062476957,jumtest.jpg,10002,mer,sem magna nec quam. Curabitur vel lectus. Cum sociis natoque,1,487808103,Odysseus Roberson,pellentesque eget  dictum placerat  augue. Sed molestie. Sed id,1
Eaton,Farley,Vaughn,7221253,1999-07-25,F,aliquet.lobortis.nisi@Maecenasmi.com,8750 Metus. St.,3,968,Quebec,7044,Pierrefonds,Anambra,5041078053,1398995901,jumtest.jpg,10003,for,magnis dis parturient montes  nascetur ridiculus mus. Aenean eget magna.,1,8707795187,Cole Reid,sagittis semper. Nam tempor diam dictum,1
Orla,Myers,Dalton,4167121,1999-07-26,M,orci@imperdiet.net,734-1211 Quam Rd.,166,959,TN,456104,Vellore,Toscana,7386178117,4727949789,jumtest.jpg,10004,anim,urna  nec luctus felis purus ac tellus. Suspendisse sed dolor.,1,4854401486,Shellie Gutierrez,convallis ligula. Donec luctus aliquet odio. Etiam,1
James,Sheppard,Morgan,7973323,1999-07-27,M,auctor@ornareFusce.org,Ap #500-1654 Ornare  Avenue,254,547,ACT,30454,Canberra,Şanlıurfa,7263198985,1705525601,jumtest.jpg,10005,anim,massa. Integer vitae nibh. Donec est mauris  rhoncus id  mollis,1,3720104348,April Wiggins,ac metus vitae velit egestas lacinia.,1
Alea,Love,Tate,2387729,1999-07-28,M,Mauris.nulla@ut.net,P.O. Box 962  2824 Lacus Street,815,931,Cartago,42497,San Diego,Arkansas,2333687165,121819688,jumtest.jpg,10006,arq,aliquet  metus urna convallis erat  eget tincidunt dui augue eu,1,9832042038,Kiayada Burke,sem ut cursus luctus  ipsum leo elementum,1
Regan,Lawrence,Cantu,2718102,1999-07-29,F,et.risus@nisiaodio.edu,P.O. Box 114  2349 Ultrices. Ave,7,33,SIC,9931,Termini Imerese,New South Wales,8527130548,4462149442,jumtest.jpg,10007,mer,enim. Sed nulla ante  iaculis nec  eleifend non  dapibus rutrum ,1,2876743460,Geraldine Cruz,feugiat metus sit amet ante. Vivamus non,1
Nicole,Barber,Evans,8592510,1999-07-30,F,dapibus.quam@Donecvitae.ca,272-3154 Ante Ave,346,186,IL,0880 MJ,Courbevoie,Mersin,7729709004,5527540413,jumtest.jpg,10008,ind,mauris id sapien. Cras dolor dolor  tempus non  lacinia at ,1,2267493121,Isaiah Roman,odio semper cursus. Integer mollis. Integer,1
Oscar,Fulton,Norman,2923154,1999-07-31,F,Curabitur@Donecelementumlorem.edu,308-7386 Parturient Rd.,857,94,QC,26504,Maria,Magallanes y Antártica Chilena,4822664911,5434823348,jumtest.jpg,10009,fis,magna a tortor. Nunc commodo auctor velit. Aliquam nisl. Nulla,1,7921312915,Derek Lee,ornare tortor at risus. Nunc ac sem ut dolor dapibus,1
Ebony,Berry,Gilliam,6772354,1999-08-01,M,nisi.Aenean.eget@est.org,300-4634 Vel St.,101,72,Australian Capital Territory,66959,Canberra,Małopolskie,9427780109,9470007982,jumtest.jpg,10010,anim,lectus  a sollicitudin orci sem eget massa. Suspendisse eleifend. Cras,1,5609466920,Gail Mccullough,neque. Nullam ut nisi a odio semper,1
Reese,Carroll,Snow,8438162,1999-08-02,M,at.sem@Integer.com,P.O. Box 942  1707 Metus. Road,848,234,Zl,876348,Sluis,CV,9766238598,8227866289,jumtest.jpg,10011,neg,at arcu. Vestibulum ante ipsum primis in faucibus orci luctus,1,9995926229,Risa Pickett,magna. Sed eu eros. Nam consequat dolor vitae,1
Sylvester,Conley,Wynn,6584291,1999-08-03,F,semper.tellus.id@Duisdignissimtempor.co.uk,338-3514 Consectetuer Rd.,222,302,Washington,6925,Tacoma,CA,2506915674,1374878753,jumtest.jpg,10012,der,scelerisque sed  sapien. Nunc pulvinar arcu et pede. Nunc sed,1,9806288249,Chadwick Cline,ultricies adipiscing  enim mi tempor lorem  eget mollis lectus,1
Grace,Jennings,Wheeler,378008,1999-08-04,F,rhoncus@nullavulputatedui.org,6775 Pharetra Av.,677,27,VIC,60676-122,Horsham,O,4705614609,9585969811,jumtest.jpg,10013,neg,ullamcorper. Duis at lacus. Quisque purus sapien  gravida non  sollicitudin,1,1572645951,Kato Weiss,ac mattis ornare  lectus ante dictum mi  ac mattis,1
Emerald,Ramirez,Rush,6918771,1999-08-05,M,eget.tincidunt.dui@odio.ca,7423 Orci Avenue,574,258,İzmir,7268,Tire,CN,9783932390,8129484995,jumtest.jpg,10014,adm,ultrices  mauris ipsum porta elit  a feugiat tellus lorem eu,1,9994442110,Sybill Goodwin,lobortis tellus justo sit amet nulla. Donec,1
Lewis,Spencer,Gibbs,9122259,1999-08-06,F,quis.diam.Pellentesque@risus.ca,Ap #997-1640 Tincidunt. St.,354,321,PUG,9420,Castri di Lecce,British Columbia,3070035658,2117017525,jumtest.jpg,10015,der,Cum sociis natoque penatibus et magnis dis parturient montes  nascetur,1,4284334053,Bethany Horn,lorem ut aliquam iaculis  lacus pede sagittis,1
Allen,Ferguson,Woods,2329848,1999-08-07,M,massa.Mauris@lacusQuisque.com,P.O. Box 910  8607 Libero St.,674,965,OR,29675-471,Gresham,U,659482973,2227985676,jumtest.jpg,10016,arq,Nulla eget metus eu erat semper rutrum. Fusce dolor quam ,1,9430031936,Joan Soto,mauris sit amet lorem semper auctor. Mauris vel,1
Rhoda,Ramos,Mckinney,607719,1999-08-08,M,amet.risus@lobortisauguescelerisque.net,Ap #708-3741 Semper St.,101,2,Lubelskie,4502,Chełm,A,863990006,8444410039,jumtest.jpg,10017,neg,enim  gravida sit amet  dapibus id  blandit at  nisi. Cum,1,5928480244,Idola Mckenzie,lacus. Aliquam rutrum lorem ac risus. Morbi metus.,1
Jayme,Thomas,Doyle,8988728,1999-08-09,M,justo@pedenecante.co.uk,797-3790 Nec  Road,971,7,JK,4711,Jammu,North Island,8136256411,2311590144,jumtest.jpg,10018,adm,Suspendisse non leo. Vivamus nibh dolor  nonummy ac  feugiat non ,1,1521457318,Dustin Cantrell,ultrices iaculis odio. Nam interdum enim non nisi.,1
Sybil,Holman,Love,4792754,1999-08-10,F,elit@sempererat.com,Ap #702-1828 Eu Rd.,497,978,Languedoc-Roussillon,52-347,Narbonne,Luik,8782702644,4339738998,jumtest.jpg,10019,for,Duis risus odio  auctor vitae  aliquet nec  imperdiet nec  leo.,1,7064339271,Genevieve Compton,amet  consectetuer adipiscing elit. Etiam laoreet  libero et tristique,1
Denise,Rios,Solis,9639636,1999-08-11,M,auctor.velit@duiin.co.uk,880-723 Odio. St.,360,101,Stockholms län,15655,Södertälje,Orkney,6856007205,6435090026,jumtest.jpg,10020,adm,semper cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices,1,2144218130,Sigourney Paul,a odio semper cursus. Integer mollis. Integer tincidunt,1
Judah,Guerra,Roach,8508537,1999-08-12,F,at@veliteu.co.uk,P.O. Box 935  3426 Aliquet St.,238,595,Leinster,N8M 4CV,Dublin,CAL,8604401540,3660161310,jumtest.jpg,10021,fis,pede. Nunc sed orci lobortis augue scelerisque mollis. Phasellus libero,1,632664521,Giacomo Murphy,libero lacus  varius et  euismod et  commodo,1
Emerald,Miles,Goff,4713,1999-08-13,F,Donec.non.justo@massa.org,Ap #280-9385 Tellus. Street,790,707,Lubuskie,922172,Gorzów Wielkopolski,New South Wales,2621364222,3231018065,jumtest.jpg,10022,for,non sapien molestie orci tincidunt adipiscing. Mauris molestie pharetra nibh.,1,9586856860,Rhiannon Carr,tellus id nunc interdum feugiat. Sed nec metus facilisis,1
Baker,Bass,Roach,6428733,1999-08-14,F,at@sodaleselit.com,P.O. Box 165  3378 Pulvinar Road,660,14,Assam,8458,Dibrugarh,BC,2850769655,2486461953,jumtest.jpg,10023,der,Pellentesque habitant morbi tristique senectus et netus et malesuada fames,1,589569132,Emma Manning,Cum sociis natoque penatibus et magnis dis parturient montes ,1
